Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,Date
12:52 PM,82 F,63 F,52 %,SSE,9 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
1:52 PM,81 F,62 F,52 %,SE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
2:52 PM,80 F,63 F,56 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
3:52 PM,79 F,62 F,56 %,SSE,7 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
4:52 PM,77 F,62 F,60 %,SSE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
5:52 PM,77 F,62 F,60 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-01
6:52 PM,76 F,62 F,62 %,ESE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-01
7:52 PM,73 F,62 F,68 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-01
8:52 PM,71 F,58 F,63 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
9:52 PM,70 F,59 F,68 %,SE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Partly Cloudy,2019-05-02
10:52 PM,69 F,59 F,70 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
11:52 PM,69 F,60 F,73 %,S,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
12:52 AM,67 F,60 F,79 %,SSE,5 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
1:52 AM,66 F,60 F,81 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
2:52 AM,66 F,61 F,84 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
3:52 AM,66 F,62 F,87 %,SE,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
4:35 AM,68 F,63 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
4:52 AM,69 F,64 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
5:02 AM,70 F,64 F,81 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
5:52 AM,72 F,65 F,78 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
6:52 AM,75 F,66 F,73 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
7:52 AM,77 F,66 F,69 %,SSE,5 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
8:31 AM,78 F,66 F,66 %,S,8 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
8:52 AM,79 F,65 F,62 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
9:52 AM,81 F,65 F,58 %,SSE,12 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
10:52 AM,82 F,64 F,54 %,SSE,12 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
11:52 AM,83 F,64 F,53 %,SSE,9 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
12:52 PM,82 F,63 F,52 %,SSE,9 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
1:52 PM,81 F,62 F,52 %,SE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
2:52 PM,80 F,63 F,56 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
3:52 PM,79 F,62 F,56 %,SSE,7 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
4:52 PM,77 F,62 F,60 %,SSE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-02
5:52 PM,77 F,62 F,60 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-02
6:52 PM,76 F,62 F,62 %,ESE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-02
7:52 PM,73 F,62 F,68 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-02
8:52 PM,71 F,58 F,63 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
9:52 PM,70 F,59 F,68 %,SE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Partly Cloudy,2019-05-03
10:52 PM,69 F,59 F,70 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
11:52 PM,69 F,60 F,73 %,S,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
12:52 AM,67 F,60 F,79 %,SSE,5 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
1:52 AM,66 F,60 F,81 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
2:52 AM,66 F,61 F,84 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
3:52 AM,66 F,62 F,87 %,SE,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
4:35 AM,68 F,63 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
4:52 AM,69 F,64 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
5:02 AM,70 F,64 F,81 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
5:52 AM,72 F,65 F,78 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
6:52 AM,75 F,66 F,73 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
7:52 AM,77 F,66 F,69 %,SSE,5 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
8:31 AM,78 F,66 F,66 %,S,8 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
8:52 AM,79 F,65 F,62 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
9:52 AM,81 F,65 F,58 %,SSE,12 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
10:52 AM,82 F,64 F,54 %,SSE,12 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
11:52 AM,83 F,64 F,53 %,SSE,9 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
12:52 PM,82 F,63 F,52 %,SSE,9 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
1:52 PM,81 F,62 F,52 %,SE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
2:52 PM,80 F,63 F,56 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
3:52 PM,79 F,62 F,56 %,SSE,7 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
4:52 PM,77 F,62 F,60 %,SSE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-03
5:52 PM,77 F,62 F,60 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-03
6:52 PM,76 F,62 F,62 %,ESE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-03
7:52 PM,73 F,62 F,68 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-03
8:52 PM,71 F,58 F,63 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
9:52 PM,70 F,59 F,68 %,SE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Partly Cloudy,2019-05-04
10:52 PM,69 F,59 F,70 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
11:52 PM,69 F,60 F,73 %,S,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
12:52 AM,67 F,60 F,79 %,SSE,5 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
1:52 AM,66 F,60 F,81 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
2:52 AM,66 F,61 F,84 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
3:52 AM,66 F,62 F,87 %,SE,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
4:35 AM,68 F,63 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
4:52 AM,69 F,64 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
5:02 AM,70 F,64 F,81 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
5:52 AM,72 F,65 F,78 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
6:52 AM,75 F,66 F,73 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
7:52 AM,77 F,66 F,69 %,SSE,5 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
8:31 AM,78 F,66 F,66 %,S,8 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
8:52 AM,79 F,65 F,62 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
9:52 AM,81 F,65 F,58 %,SSE,12 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
10:52 AM,82 F,64 F,54 %,SSE,12 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
11:52 AM,83 F,64 F,53 %,SSE,9 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
12:52 PM,82 F,63 F,52 %,SSE,9 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
1:52 PM,81 F,62 F,52 %,SE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
2:52 PM,80 F,63 F,56 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
3:52 PM,79 F,62 F,56 %,SSE,7 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
4:52 PM,77 F,62 F,60 %,SSE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-04
5:52 PM,77 F,62 F,60 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-04
6:52 PM,76 F,62 F,62 %,ESE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-04
7:52 PM,73 F,62 F,68 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-04
8:52 PM,71 F,58 F,63 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
9:52 PM,70 F,59 F,68 %,SE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Partly Cloudy,2019-05-05
10:52 PM,69 F,59 F,70 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
11:52 PM,69 F,60 F,73 %,S,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
12:52 AM,67 F,60 F,79 %,SSE,5 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
1:52 AM,66 F,60 F,81 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
2:52 AM,66 F,61 F,84 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
3:52 AM,66 F,62 F,87 %,SE,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
4:35 AM,68 F,63 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
4:52 AM,69 F,64 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
5:02 AM,70 F,64 F,81 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
5:52 AM,72 F,65 F,78 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
6:52 AM,75 F,66 F,73 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
7:52 AM,77 F,66 F,69 %,SSE,5 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
8:31 AM,78 F,66 F,66 %,S,8 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
8:52 AM,79 F,65 F,62 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
9:52 AM,81 F,65 F,58 %,SSE,12 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
10:52 AM,82 F,64 F,54 %,SSE,12 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
11:52 AM,83 F,64 F,53 %,SSE,9 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
12:52 PM,82 F,63 F,52 %,SSE,9 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
1:52 PM,81 F,62 F,52 %,SE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
2:52 PM,80 F,63 F,56 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
3:52 PM,79 F,62 F,56 %,SSE,7 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
4:52 PM,77 F,62 F,60 %,SSE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-05
5:52 PM,77 F,62 F,60 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-05
6:52 PM,76 F,62 F,62 %,ESE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-05
7:52 PM,73 F,62 F,68 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Cloudy,2019-05-05
